"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","MVP","DPOY"
"1","Precious Achiuwa",2021,"PF",21,"MIA",58,3,11.9,1.9,3.6,0.538,0,0,0,1.9,3.6,0.538,0.538,0.9,1.8,0.515,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,4.8,13.9,0.546,0,0.49,11.8,20.7,16.3,6.3,1.3,4.1,13.8,19.3,0.2,1,1.2,0.083,-3.5,-0.8,-4.3,-0.4,0,0
"2","Jaylen Adams",2021,"PG",24,"MIL",7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,0,0,0.4,0.4,0.3,0,0,0,0.1,0.3,-6.5,0.125,0.25,0,0,16.9,8.7,12.7,0,0,0,18.6,-0.1,0,-0.1,-0.25,-14.9,-5,-19.8,-0.1,0,0
"3","Steven Adams",2021,"C",27,"NOP",58,58,27.7,3.3,5.3,0.614,0,0.1,0,3.3,5.3,0.62,0.614,1,2.3,0.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,15.1,0.596,0.01,0.438,14.5,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4,0.119,-0.3,-0.5,-0.8,0.5,0,0
"4","Bam Adebayo",2021,"C",23,"MIA",62,62,33.5,7.2,12.5,0.572,0,0.1,0.25,7.1,12.4,0.575,0.573,4.5,5.7,0.799,2.2,6.7,8.9,5.3,1.2,1,2.7,2.3,18.9,22.8,0.629,0.01,0.454,7.7,22.4,15.2,26.7,1.7,3.3,15.1,23.9,5.4,3.1,8.5,0.197,2.9,1.8,4.7,3.5,0,0
"5","LaMarcus Aldridge",2021,"C",35,"TOT",26,23,25.9,5.4,11.4,0.473,1.2,3.1,0.388,4.2,8.3,0.505,0.525,1.6,1.8,0.872,0.7,3.8,4.5,1.9,0.4,1.1,1,1.8,13.5,15.7,0.556,0.27,0.159,3,15.8,9.4,11,0.8,3.7,7.9,22.2,0.5,0.7,1.2,0.082,-0.2,-0.4,-0.6,0.2,0,0
"6","Ty-Shon Alexander",2021,"SG",22,"PHO",14,0,3,0.1,0.8,0.182,0.1,0.6,0.125,0.1,0.2,0.333,0.227,0.1,0.1,0.5,0.1,0.4,0.5,0.3,0,0.1,0.1,0.1,0.4,0,0.253,0.727,0.182,2.7,15.9,9.5,11.4,0,2.2,14.4,14.7,-0.1,0,-0.1,-0.117,-8,-2.6,-10.6,-0.1,0,0
"7","Nickeil Alexander-Walker",2021,"SG",22,"NOP",43,10,20.8,4,9.4,0.422,1.6,4.6,0.348,2.4,4.8,0.493,0.507,0.9,1.3,0.741,0.3,2.8,3.1,2.1,1,0.5,1.4,1.9,10.5,12.7,0.526,0.489,0.133,1.3,14.8,8.1,14.6,2.3,2.2,12.5,23,-0.2,1,0.8,0.041,-1.4,0,-1.5,0.1,0,0
"8","Grayson Allen",2021,"SG",25,"MEM",50,38,25.2,3.5,8.3,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.868,0.4,2.8,3.2,2.2,0.9,0.2,1,1.4,10.6,12.8,0.586,0.662,0.22,1.6,12,6.7,11.4,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.4,-0.1,-0.5,0.5,0,0
"9","Jarrett Allen",2021,"C",22,"TOT",60,42,29.5,4.8,7.6,0.629,0.1,0.3,0.353,4.7,7.3,0.64,0.636,3.3,4.6,0.704,3.1,6.8,9.9,1.7,0.5,1.5,1.6,1.6,12.9,20.5,0.671,0.038,0.611,11.8,26.2,18.9,8.8,0.9,4.4,14.2,16.5,4.3,2,6.3,0.171,1.6,-0.4,1.2,1.4,0,0
"10","Al-Farouq Aminu",2021,"PF",30,"TOT",23,14,18.9,1.7,4.3,0.384,0.3,1.6,0.216,1.3,2.7,0.484,0.424,0.8,1,0.818,1,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,-0.4,0.5,0.1,0.012,-5,1,-4,-0.2,0,0
"11","Kyle Anderson",2021,"PF",27,"MEM",67,67,27.3,4.5,9.6,0.465,1.4,3.8,0.357,3.1,5.8,0.536,0.536,2.1,2.7,0.779,0.8,5,5.8,3.5,1.2,0.8,1.2,1.7,12.4,17.1,0.574,0.397,0.281,2.9,19.7,11.2,17.9,2.1,2.7,10.2,18.6,2.7,2.6,5.4,0.141,1.3,1.7,2.9,2.3,0,0
"12","Giannis Antetokounmpo",2021,"PF",26,"MIL",59,59,32.9,10.3,18.1,0.566,1.1,3.7,0.3,9.2,14.5,0.634,0.597,6.5,9.5,0.689,1.6,9.4,11,5.9,1.2,1.2,3.5,2.8,28.2,29.1,0.631,0.203,0.522,5.3,28.9,17.5,29,1.7,3.3,13.5,32.7,6.5,3.3,9.8,0.242,6.2,2.7,8.9,5.4,0,0
"13","Kostas Antetokounmpo",2021,"PF",23,"LAL",15,0,3.7,0.2,0.7,0.3,0,0,0,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1,1.3,0.1,0.1,0.3,0.7,0.5,0.8,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.8,-0.3,0.1,-0.2,-0.173,-13.2,0.2,-13,-0.2,0,0
"14","Thanasis Antetokounmpo",2021,"SF",28,"MIL",55,2,9.7,1.2,2.4,0.504,0.1,0.5,0.259,1.1,1.9,0.566,0.53,0.5,0.9,0.51,1,1.3,2.2,0.8,0.4,0.2,0.8,1.3,3,10.8,0.537,0.203,0.368,11,13.1,12.1,10.3,1.8,1.7,21.4,15.4,0.1,0.6,0.7,0.065,-3.3,-0.3,-3.5,-0.2,0,0
"15","Carmelo Anthony",2021,"PF",36,"POR",66,3,24.5,4.8,11.3,0.423,1.9,4.7,0.406,2.9,6.6,0.435,0.507,2,2.3,0.887,0.5,2.7,3.1,1.5,0.7,0.5,0.9,2.1,13.5,14.7,0.548,0.415,0.201,2,12,6.8,9.2,1.4,2,7,23.2,1.6,0.8,2.5,0.073,0.1,-1.6,-1.5,0.2,0,0
"16","Cole Anthony",2021,"PG",20,"ORL",44,31,27.1,4.5,11.5,0.395,1.2,3.6,0.329,3.4,7.9,0.425,0.447,2.1,2.5,0.83,0.8,3.8,4.6,4.1,0.6,0.4,2.1,2.1,12.4,11.8,0.491,0.312,0.221,2.9,15,8.8,24.1,1.1,1.4,14.5,23.5,-0.8,0.8,0,0,-2.1,-1.3,-3.3,-0.4,0,0
"17","OG Anunoby",2021,"SF",23,"TOR",43,43,33.3,5.8,12.1,0.48,2.4,6.1,0.398,3.4,6,0.562,0.58,1.9,2.4,0.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,15.4,0.605,0.503,0.197,4,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.105,0.6,0.3,1,1.1,0,0
