"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","ROY"
"1","Aaron Nesmith",2021,"SF",21,"BOS",43,0,14.1,1.6,3.6,0.455,0.9,2.3,0.394,0.7,1.3,0.564,0.581,0.5,0.6,0.769,0.6,2,2.6,0.4,0.3,0.2,0.5,1.7,4.6,10,0.601,0.643,0.169,4.6,16.4,10.4,4,1.1,1.4,11.3,13.3,0.6,0.5,1.1,0.084,-2.4,-0.3,-2.7,-0.1,0
"2","Aleksej Pokusevski",2021,"PF",19,"OKC",43,26,23.7,2.9,8.8,0.332,1.2,4.6,0.265,1.7,4.3,0.404,0.401,0.7,0.9,0.737,0.7,3.8,4.5,2.2,0.4,1,2,1.3,7.7,6.1,0.419,0.517,0.1,3,17.2,10,13.6,0.9,3.7,18.2,20.2,-2.7,0.9,-1.8,-0.084,-5.2,-0.6,-5.8,-1,0
"3","Amida Brimah",2021,"C",26,"IND",5,0,5.8,1,1.6,0.625,0,0,0,1,1.6,0.625,0.625,0.6,0.6,1,0.4,1.2,1.6,0.2,0,1,0.8,0.8,2.6,16.6,0.697,0,0.375,7.5,22.3,15,4.8,0,14,30,19.6,0,0.1,0,0.075,-5.5,1.5,-4,0,0
"4","Anthony Edwards",2021,"SG",19,"MIN",69,52,31.9,6.9,16.8,0.414,2.3,7.1,0.327,4.6,9.6,0.48,0.484,2.8,3.6,0.767,0.8,3.9,4.7,2.8,1.1,0.5,2.3,1.8,19,13.4,0.518,0.426,0.215,2.8,13.6,8,14.2,1.7,1.3,11,27,-1,1.4,0.4,0.008,-1.2,-1.8,-3,-0.5,0
"5","Anthony Gill",2021,"PF",28,"WAS",24,4,7.9,1.2,2.3,0.5,0.3,1,0.292,0.9,1.3,0.656,0.563,0.2,0.3,0.625,0.6,1.3,1.8,0.4,0.3,0.1,0.3,1,2.8,12.8,0.571,0.429,0.143,7.9,16.8,12.3,7.1,2,1.3,9.2,14.3,0.2,0.2,0.4,0.106,-1.8,-0.2,-2,0,0
"6","Anthony Lamb",2021,"SF",23,"HOU",21,2,14.7,1.6,4.5,0.358,0.9,2.8,0.322,0.7,1.7,0.417,0.458,0.6,0.7,0.867,1,1.5,2.5,0.6,0.1,0.2,0.6,1.3,4.8,7.5,0.492,0.621,0.158,6.9,11.1,9,5.5,0.5,1.5,11.3,15.8,-0.1,0.1,0,0.002,-4.1,-2.8,-6.9,-0.4,0
"7","Armoni Brooks",2021,"SG",22,"HOU",17,5,24.4,3.4,8.5,0.396,2.8,7.1,0.388,0.6,1.4,0.435,0.559,0.3,0.5,0.556,0.4,2.8,3.2,1.5,0.5,0.3,1.2,1.6,9.8,9.6,0.561,0.84,0.063,1.7,12.9,7.1,9.3,1,1.1,11.9,17.3,0,0.2,0.2,0.021,-1.8,-1.8,-3.6,-0.2,0
"8","Ashton Hagans",2021,"PG",21,"MIN",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,-12.4,0,0,0,0,0,0,0,0,0,100,10.5,0,0,0,-0.352,-13.8,-7.9,-21.7,0,0
"9","Brodric Thomas",2021,"SG",24,"TOT",29,1,10.7,1,2.9,0.353,0.5,1.7,0.313,0.5,1.3,0.405,0.441,0.9,1.2,0.714,0.2,1.1,1.3,0.8,0.3,0.3,0.8,1.1,3.4,7.4,0.498,0.565,0.412,2.4,11.5,6.8,10.9,1.6,2.9,18,17.1,-0.3,0.2,-0.1,-0.009,-4.8,-0.2,-5,-0.2,0
"10","Cameron Oliver",2021,"F",24,"HOU",1,0,19,6,10,0.6,1,3,0.333,5,7,0.714,0.65,0,0,0,1,2,3,2,1,0,0,3,13,24.4,0.65,0.3,0,5.4,11.7,8.4,21.1,2.5,0,0,22.4,0.1,0,0.1,0.214,-0.5,0.4,0,0,0
"11","Cassius Stanley",2021,"SG",21,"IND",22,0,3.8,0.6,1.8,0.333,0.1,0.5,0.25,0.5,1.2,0.37,0.372,0.3,0.4,0.778,0.3,0.5,0.9,0,0,0.1,0,0.5,1.6,7.9,0.419,0.308,0.231,9.2,15.6,12.4,1.6,0.6,2,2.3,22.6,-0.1,0.1,0,-0.013,-5.8,-3.6,-9.3,-0.2,0
"12","Cassius Winston",2021,"PG",22,"WAS",21,0,4.6,0.7,1.6,0.424,0.4,0.8,0.471,0.3,0.8,0.375,0.545,0.2,0.3,0.833,0,0.4,0.4,0.6,0.1,0,0.2,0.4,2,10.9,0.575,0.515,0.182,0,9.8,4.9,16.5,1,0.9,12.3,17.3,0.1,0.1,0.1,0.065,-1.7,-1.2,-2.9,0,0
"13","Chuma Okeke",2021,"PF",22,"ORL",45,19,25.2,3,7.2,0.417,1.1,3.1,0.348,1.9,4.1,0.47,0.492,0.7,0.9,0.75,0.9,3.1,4,2.2,1.1,0.5,0.8,1.1,7.8,11.8,0.511,0.435,0.123,3.7,13.2,8.3,13.1,2.1,1.8,10,14.5,0.3,1,1.4,0.057,-1.8,0.4,-1.4,0.2,0
"14","CJ Elleby",2021,"SF",20,"POR",28,0,6.6,0.9,2.3,0.381,0.3,1.1,0.219,0.6,1.1,0.548,0.437,0.4,0.5,0.733,0.4,0.7,1.1,0.4,0.2,0.1,0.2,0.9,2.4,9.7,0.474,0.508,0.238,6.1,11.8,8.9,7.4,1.6,1.4,6.7,17.2,0.1,0.1,0.1,0.038,-3.8,-1.4,-5.2,-0.2,0
"15","Cole Anthony",2021,"PG",20,"ORL",44,31,27.1,4.5,11.5,0.395,1.2,3.6,0.329,3.4,7.9,0.425,0.447,2.1,2.5,0.83,0.8,3.8,4.6,4.1,0.6,0.4,2.1,2.1,12.4,11.8,0.491,0.312,0.221,2.9,15,8.8,24.1,1.1,1.4,14.5,23.5,-0.8,0.8,0,0,-2.1,-1.3,-3.3,-0.4,0
"16","Dakota Mathias",2021,"SG",25,"PHI",8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6,9.8,0.474,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18,0.1,0.1,0.2,0.063,-1.9,-1.7,-3.6,0,0
