"","Player","Season","Pos","Age","Tm","G","GS","MP","FGM","FGA","FGP","X3PM","X3PA","X3PP","X2PM","X2PA","X2PP","EFG","FTM","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS","X3PAR","FTR","ORBP","DRBP","TRBP","ASTP","STLP","BLKP","TOVP","USG","OWS","DWS","WS","WS48","OBPM","DBPM","BPM","VORP","SMOY"
"1","Precious Achiuwa",2021,"PF",21,"MIA",58,3,11.9,1.9,3.6,0.538,0,0,0,1.9,3.6,0.538,0.538,0.9,1.8,0.515,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,4.8,13.9,0.546,0,0.49,11.8,20.7,16.3,6.3,1.3,4.1,13.8,19.3,0.2,1,1.2,0.083,-3.5,-0.8,-4.3,-0.4,0
"2","Jaylen Adams",2021,"PG",24,"MIL",7,0,2.6,0.1,1.1,0.125,0,0.3,0,0.1,0.9,0.167,0.125,0,0,0,0,0.4,0.4,0.3,0,0,0,0.1,0.3,-6.5,0.125,0.25,0,0,16.9,8.7,12.7,0,0,0,18.6,-0.1,0,-0.1,-0.25,-14.9,-5,-19.8,-0.1,0
"3","Ty-Shon Alexander",2021,"SG",22,"PHO",14,0,3,0.1,0.8,0.182,0.1,0.6,0.125,0.1,0.2,0.333,0.227,0.1,0.1,0.5,0.1,0.4,0.5,0.3,0,0.1,0.1,0.1,0.4,0,0.253,0.727,0.182,2.7,15.9,9.5,11.4,0,2.2,14.4,14.7,-0.1,0,-0.1,-0.117,-8,-2.6,-10.6,-0.1,0
"4","Nickeil Alexander-Walker",2021,"SG",22,"NOP",43,10,20.8,4,9.4,0.422,1.6,4.6,0.348,2.4,4.8,0.493,0.507,0.9,1.3,0.741,0.3,2.8,3.1,2.1,1,0.5,1.4,1.9,10.5,12.7,0.526,0.489,0.133,1.3,14.8,8.1,14.6,2.3,2.2,12.5,23,-0.2,1,0.8,0.041,-1.4,0,-1.5,0.1,0
"5","Kostas Antetokounmpo",2021,"PF",23,"LAL",15,0,3.7,0.2,0.7,0.3,0,0,0,0.2,0.7,0.3,0.3,0.4,0.9,0.462,0.3,1,1.3,0.1,0.1,0.3,0.7,0.5,0.8,0,0.382,0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.8,-0.3,0.1,-0.2,-0.173,-13.2,0.2,-13,-0.2,0
"6","Thanasis Antetokounmpo",2021,"SF",28,"MIL",55,2,9.7,1.2,2.4,0.504,0.1,0.5,0.259,1.1,1.9,0.566,0.53,0.5,0.9,0.51,1,1.3,2.2,0.8,0.4,0.2,0.8,1.3,3,10.8,0.537,0.203,0.368,11,13.1,12.1,10.3,1.8,1.7,21.4,15.4,0.1,0.6,0.7,0.065,-3.3,-0.3,-3.5,-0.2,0
"7","Carmelo Anthony",2021,"PF",36,"POR",66,3,24.5,4.8,11.3,0.423,1.9,4.7,0.406,2.9,6.6,0.435,0.507,2,2.3,0.887,0.5,2.7,3.1,1.5,0.7,0.5,0.9,2.1,13.5,14.7,0.548,0.415,0.201,2,12,6.8,9.2,1.4,2,7,23.2,1.6,0.8,2.5,0.073,0.1,-1.6,-1.5,0.2,0
"8","Ryan Arcidiacono",2021,"PG",26,"CHI",42,0,10,1,2.5,0.396,0.5,1.4,0.333,0.5,1.1,0.478,0.491,0.3,0.5,0.65,0.1,1.3,1.5,1.2,0.2,0,0.2,1,2.8,8.7,0.51,0.566,0.189,1.3,14.7,8.1,15.1,0.9,0,6.5,12.7,0.3,0.3,0.7,0.075,-3.3,-0.2,-3.5,-0.2,0
"9","D.J. Augustin",2021,"PG",33,"TOT",54,9,19.5,2.3,5.8,0.393,1.4,3.6,0.39,0.9,2.2,0.398,0.514,1.4,1.6,0.906,0.3,1.3,1.6,3.2,0.5,0,1.1,1,7.4,11.8,0.569,0.623,0.272,1.8,6.8,4.3,21.8,1.2,0.1,14.8,16.4,1.4,0.5,1.9,0.087,-0.7,-1.5,-2.2,-0.1,0
"10","Udoka Azubuike",2021,"C",21,"UTA",12,0,4.1,0.3,0.6,0.571,0,0,0,0.3,0.6,0.571,0.571,0.3,0.5,0.667,0.3,0.8,1.1,0,0.1,0.3,0.3,0.7,1,10.5,0.622,0,0.857,9.1,18.7,14.1,0,1,6.6,23.7,11.1,0,0.1,0.1,0.11,-5.5,1.2,-4.3,0,0
"11","Mo Bamba",2021,"C",22,"ORL",44,4,15.5,3.1,6.4,0.48,0.8,2.5,0.324,2.3,3.9,0.578,0.543,1,1.4,0.677,1.7,4.1,5.8,0.7,0.3,1.3,0.8,1.9,7.9,19.9,0.563,0.384,0.221,10.9,28.3,19.3,7.6,1,7.6,9.9,21.6,0.7,1.1,1.8,0.126,0.3,0.1,0.4,0.4,0
"12","Desmond Bane",2021,"SG",22,"MEM",65,16,22.3,3.5,7.4,0.473,1.8,4,0.44,1.7,3.4,0.511,0.592,0.6,0.7,0.809,0.5,2.7,3.1,1.8,0.6,0.2,0.9,1.9,9.3,12.4,0.606,0.542,0.098,2.2,12.8,7.5,10.9,1.2,0.9,10.1,16.2,1.7,1.2,2.9,0.097,-0.6,-0.3,-0.9,0.4,0
"13","Keita Bates-Diop",2021,"SF",25,"SAS",27,0,7.2,0.7,1.7,0.404,0.2,0.6,0.313,0.5,1.1,0.452,0.457,0.4,0.7,0.632,0.2,1.1,1.3,0.3,0.4,0.2,0.2,0.4,2,10.8,0.497,0.34,0.404,3.2,16.2,9.6,6.1,2.8,2.2,9.8,13.8,0,0.3,0.2,0.06,-3.5,1.4,-2.1,0,0
"14","Kent Bazemore",2021,"SF",31,"GSW",65,16,19.6,2.6,5.8,0.449,1.1,2.8,0.411,1.5,3.1,0.482,0.546,0.8,1.1,0.689,0.4,3,3.4,1.6,1,0.5,1.2,2.3,7.2,10.9,0.565,0.475,0.195,2.2,16.4,9.4,11.4,2.4,2.3,15.9,16.4,-0.2,2,1.8,0.067,-2.8,1.3,-1.4,0.2,0
"15","Jordan Bell",2021,"C",26,"WAS",5,1,13.4,1.4,4,0.35,0,0.4,0,1.4,3.6,0.389,0.35,0,0,0,1.2,2.6,3.8,1,0.6,0.6,0.6,1,2.8,8.5,0.35,0.1,0,9.5,20.5,15,9.5,2.1,3.7,13,14.2,-0.1,0.1,0,-0.005,-4.7,-0.8,-5.5,-0.1,0
"16","DeAndre' Bembry",2021,"SF",26,"TOR",48,11,17.8,2.1,3.9,0.527,0.3,0.9,0.302,1.8,3,0.593,0.561,0.8,1.2,0.672,0.7,2.1,2.8,1.9,0.9,0.3,1.4,1.6,5.2,11,0.585,0.229,0.309,4,13.4,8.5,15.1,2.6,1.9,23.9,14.2,0.1,1,1,0.058,-3.3,1.1,-2.2,0,0
"17","Davis Bertans",2021,"PF",28,"WAS",54,5,25.4,3.3,8.3,0.404,2.9,7.4,0.398,0.4,0.9,0.457,0.582,1.7,2,0.87,0.3,2.6,3,0.9,0.6,0.2,0.5,2.4,11.4,11.5,0.621,0.897,0.242,1.4,10.9,6.2,4.7,1,0.8,5.6,15.7,2.1,0.9,3,0.103,0.5,-1.4,-0.9,0.4,0
"18","Tyler Bey",2021,"SF",22,"DAL",16,0,3.9,0.4,1.3,0.35,0.1,0.3,0.25,0.4,1,0.375,0.375,0.2,0.3,0.6,0.4,0.6,1,0.1,0,0.1,0.1,0.4,1.1,6.8,0.405,0.2,0.25,10.6,17.3,14,4.3,0,1.5,8.3,17,-0.1,0,0,-0.01,-5.2,-3.7,-8.9,-0.1,0
"19","Khem Birch",2021,"C",28,"TOT",64,19,22.3,2.7,5.3,0.5,0.2,0.6,0.268,2.5,4.7,0.532,0.516,1.3,1.9,0.705,2.6,3,5.7,1.3,0.7,0.8,0.6,1.7,6.8,15.2,0.555,0.121,0.359,12,15,13.4,8.4,1.5,3.2,9,13.1,2.3,1.4,3.7,0.124,-0.9,-0.2,-1.1,0.3,0
"20","Goga Bitadze",2021,"C",21,"IND",42,2,11.8,1.8,4.2,0.432,0.4,1.7,0.239,1.4,2.5,0.562,0.48,0.9,1.2,0.776,1.3,1.9,3.2,0.8,0.2,1.3,0.4,2,4.9,16.7,0.524,0.403,0.278,11.7,17.4,14.5,8.8,0.9,9.1,7.5,18.4,0.6,0.7,1.4,0.131,-1.9,1.1,-0.8,0.2,0
"21","Nemanja Bjelica",2021,"PF",32,"TOT",35,1,15.3,2.2,5,0.446,0.6,2.1,0.27,1.7,2.9,0.574,0.503,1,1.3,0.723,0.7,2.6,3.3,1.7,0.3,0.1,0.9,1.8,6,11.5,0.537,0.423,0.269,5.1,19.3,12.2,15.1,1,0.7,13.7,18.3,0.3,0.3,0.5,0.046,-2.2,-1.4,-3.6,-0.2,0
"22","Keljin Blevins",2021,"SF",25,"POR",16,0,4.6,0.3,1.3,0.25,0.1,0.5,0.25,0.2,0.8,0.25,0.3,0,0,0,0.2,0.4,0.6,0.3,0.1,0,0.3,0.5,0.8,-0.9,0.3,0.4,0,4.2,10.4,7.2,6.8,1.3,0,20,14.5,-0.2,0,-0.2,-0.138,-9.1,-3,-12.1,-0.2,0
